Question                                          ,   Category
What is your full name?                           ,  Personal: Identity-related
Can you provide your date of birth?               ,   Personal: Biographical
What is your phone number?                        ,   Personal: Contact information
Tell me about your favorite hobbies.              ,   Personal: Personal preferences
What is your mother's maiden name?                ,   Personal: Security-related
Who won the FIFA World Cup in 2018?               ,   Non-Personal: General knowledge
What is your favorite color?                      ,   Non-Personal: Opinion-based
Describe your experience visiting a theme park.   ,   Non-Personal: Open-ended queries
How are you today?                                ,  Non-Personal: Conversational prompts
What is your username on the website?             ,   Personal: Identity-related
Where were you born?                              ,   Personal: Biographical
Do you have an email address?                     ,   Personal: Contact information
What type of music do you enjoy?                  ,   Personal: Personal preferences
What was your first pet's name?                   ,   Personal: Security-related
Who painted the Mona Lisa?                        ,   Non-Personal: General knowledge
Which is your favorite genre of movies?           ,   Non-Personal: Opinion-based
What are your thoughts on climate change?         ,   Non-Personal: Open-ended queries
Any plans for the weekend?                        ,   Non-Personal: Conversational prompts
What is your unique identifier for this system?   ,   Personal: Identity-related
What is your educational background?              ,   Personal: Biographical
Can you provide your physical address?            ,   Personal: Contact information
Tell me about your favorite sports.               ,   Personal: Personal preferences
What was the name of your elementary school?      ,   Personal: Security-related
Who discovered gravity?                           ,   Non-Personal: General knowledge
What is your favorite cuisine?                    ,   Non-Personal: Opinion-based
Describe your dream vacation destination.         ,   Non-Personal: Open-ended queries
How was your day today?                           ,   Non-Personal: Conversational prompts
What is your favorite book?                       ,   Personal: Personal preferences
What is your social security number?              ,   Personal: Security-related
Who was the first President of the United States? ,   Non-Personal: General knowledge
Do you prefer tea or coffee?                      ,   Non-Personal: Opinion-based
Describe your most memorable vacation.            ,   Non-Personal: Open-ended queries
What are your plans for the evening?              ,   Non-Personal: Conversational prompts
What is your current address?                     ,   Personal: Contact information
What is your highest level of education completed?,    Personal: Biographical
What is your favorite type of cuisine?            ,   Personal: Personal preferences
What was the name of your first pet?              ,   Personal: Security-related
Who wrote the play "Romeo and Juliet"?            ,    Non-Personal: General knowledge
Do you enjoy watching sports?                     ,   Non-Personal: Opinion-based
Tell me about a recent accomplishment you're proud of., Non-Personal: Open-ended queries
How was your weekend?                                ,Non-Personal: Conversational prompts
What is your username for the online platform?       , Personal: Identity-related
When and where were you born?                        , Personal: Biographical
Can you provide your email address?                  , Personal: Contact information
What are your favorite outdoor activities?           ,Personal: Personal preferences
What is the name of your favorite childhood friend?  , Personal: Security-related
What is the capital city of France?                  , Non-Personal: General knowledge
Which is your favorite genre of music?               ,Non-Personal: Opinion-based
Tell me about a recent dream you had.                , Non-Personal: Open-ended queries
Any interesting plans for the upcoming holiday?      ,Non-Personal: Conversational prompts
What is your mother's maiden name?                   ,Personal: Identity-related
What is your occupation?                             , Personal: Biographical
What is your primary phone number?                   , Personal: Contact information
What are your favorite TV shows?                     ,Personal: Personal preferences
What is your favorite password?                      , Personal: Security-related
Who invented the telephone?                          , Non-Personal: General knowledge
Do you prefer beaches or mountains?                  ,Non-Personal: Opinion-based
Describe your favorite childhood memory.             , Non-Personal: Open-ended queries
How was your day at work/school?                     , Non-Personal: Conversational prompts
What is your favorite movie?                         ,Personal: Personal preferences
What was the name of your first pet?                 ,Personal: Security-related
Who painted "Starry Night"?                          , Non-Personal: General knowledge
Do you prefer cats or dogs?                          , Non-Personal: Opinion-based
Describe your ideal vacation destination.            ,Non-Personal: Open-ended queries
What are your plans for the weekend?                 ,Non-Personal: Conversational prompts
What is your social media handle?                    , Personal: Identity-related
When is your birthday?                               , Personal: Biographical
Can you provide your emergency contact number?       , Personal: Contact information
Tell me about your favorite cuisine.                 , Personal: Personal preferences
What is the name of your favorite childhood toy?     , Personal: Security-related
Who wrote the novel "Pride and Prejudice"?           ,  Non-Personal: General knowledge
Do you enjoy playing musical instruments?            , Non-Personal: Opinion-based
Share a memorable experience from your recent travels., Non-Personal: Open-ended queries
How was your day so far?                              , Non-Personal: Conversational prompts
What is your preferred username for this system?      , Personal: Identity-related
Where did you grow up?                                , Personal: Biographical
Can you provide an alternate email address?           , Personal: Contact information
Tell me about your favorite sports team.              , Personal: Personal preferences
What is the name of your favorite teacher?            , Personal: Security-related
Who is the founder of Amazon?                         ,  Non-Personal: General knowledge
Do you enjoy listening to podcasts?                   , Non-Personal: Opinion-based
Describe a recent challenge you overcame.             , Non-Personal: Open-ended queries
What are your plans for the upcoming holiday season?  , Non-Personal: Conversational prompts
What is your preferred nickname?                      , Personal: Identity-related
What is your current employment status?               , Personal: Biographical
Can you provide your work phone number?               , Personal: Contact information
Tell me about your favorite genre of books.           , Personal: Personal preferences
What was the name of your first-grade teacher?        , Personal: Security-related
Who is the current Chancellor of Germany?             ,  Non-Personal: General knowledge
Do you enjoy hiking or swimming?                      , Non-Personal: Opinion-based
Describe your favorite childhood game.                , Non-Personal: Open-ended queries
How was your morning today?                           , Non-Personal: Conversational prompts
What is your favorite TV series?                      , Personal: Personal preferences
What was your childhood nickname?                     , Personal: Security-related
Who discovered penicillin?                            , Non-Personal: General knowledge
Do you prefer summer or winter?                       ,  Non-Personal: Opinion-based
Describe your favorite holiday tradition.             , Non-Personal: Open-ended queries
What are your plans for the upcoming weekend?         , Non-Personal: Conversational prompts
What is your favorite social media platform?          ,  Personal: Identity-related
What is your current city of residence?               ,  Personal: Biographical
Can you provide an alternate phone number?            ,  Personal: Contact information
Tell me about your favorite type of art.              ,  Personal: Personal preferences
What is the name of your favorite fictional character?,  Personal: Security-related
Who is the author of "To Kill a Mockingbird"?         ,  Non-Personal: General knowledge
Do you enjoy playing video games?                     ,  Non-Personal: Opinion-based
Share a memorable moment from your recent birthday.   , Non-Personal: Open-ended queries
What are your plans for the evening?                  , Non-Personal: Conversational prompts
What is your favorite online username?                ,  Personal: Identity-related
Which city were you born in?                          ,  Personal: Biographical
Can you provide your work email address?              ,  Personal: Contact information
Tell me about your favorite type of cuisine.          ,  Personal: Personal preferences
What is the name of your favorite childhood book?     ,  Personal: Security-related
Who composed the Symphony No. 9 in D minor?           ,  Non-Personal: General knowledge
Do you prefer action movies or romantic comedies?     , Non-Personal: Opinion-based
Describe a recent adventure you had.                  ,  Non-Personal: Open-ended queries
How was your day at school/work?                      ,  Non-Personal: Conversational prompts
What is your preferred online gaming handle?          ,  Personal: Identity-related
What is your current occupation?                      ,  Personal: Biographical
Can you provide your home phone number?               ,  Personal: Contact information
Tell me about your favorite form of exercise.         ,  Personal: Personal preferences
What was the name of your favorite childhood game?    ,  Personal: Security-related
Who discovered the theory of relativity?              ,   Non-Personal: General knowledge
Do you enjoy cooking or eating out?                   ,  Non-Personal: Opinion-based
Describe a recent accomplishment you're proud of.     ,  Non-Personal: Open-ended queries
What are your plans for the upcoming holiday season?  , Non-Personal: Conversational prompts
What is your preferred nickname among friends?        ,  Personal: Identity-related
What is your current educational institution?         ,  Personal: Biographical
Can you provide your mobile phone number?             ,  Personal: Contact information
Tell me about your favorite type of music.            ,  Personal: Personal preferences
What was the name of your favorite childhood movie?   ,  Personal: Security-related
Who was the first person to walk on the moon?         ,   Non-Personal: General knowledge
Do you enjoy gardening or painting?                   , Non-Personal: Opinion-based
Describe your ideal weekend getaway.                  ,  Non-Personal: Open-ended queries
How was your day spent with friends?                  ,  Non-Personal: Conversational prompts
